file,processed,resourceIDs
2025-08-08_1ml8t1u_fiber-significantly-increases-lifespan-here-are-t.txt,2026-04-11,orphan/info-fiber
2025-08-10_1mmwd3k_omega-3s-significantly-increase-lifespan-here-are.txt,2026-04-11,supplement/omega-3
2025-08-13_1mpixtz_strength-training-significantly-increases-lifespan.txt,2026-04-11,exercise/strength-training
2025-05-25_1kuq4i6_magnesium-supplementation-significantly-increases.txt,2026-04-11,supplement/magnesium
2025-11-08_1os4grw_broccoli-significantly-increases-lifespan-here-ar.txt,2026-04-11,food/cruciferous-vegetables
2026-03-01_1riao76_red-light-therapy-significantly-increases-lifespan.txt,2026-04-11,exercise/infrared-light
2025-07-12_1lyaf1p_regular-sauna-use-shows-significant-benefits-for-l.txt,2026-04-11,exercise/sauna
2025-05-25_1kvfjai_vitamin-k2-clears-arteries-for-cardiovascular-heal.txt,2026-04-11,supplement/vitamin-k2
2025-11-08_1orb6vc_vitamin-k2-clears-arteries-for-cardiovascular-heal.txt,2026-04-11,supplement/vitamin-k2
2025-05-29_1kypr5b_coq10-supplementation-slows-down-aging-repairs-da.txt,2026-04-11,supplement/coq10
2025-06-23_1livdu7_legumes-significantly-increase-lifespan-here-is-t.txt,2026-04-11,food/legumes
2025-12-23_1ptgl4m_vitamin-d-study-on-telomeres-and-aging-why-is-thi.txt,2026-04-11,supplement/vitamin-d
2026-04-02_1satayw_best-nutrients-to-slow-down-aging-here-is-the-bes.txt,2026-04-11,supplement/coq10
2025-08-17_1mt4jma_a-daily-100-cocoa-powder-drink-reversed-memory-lo.txt,2026-04-11,food/cacao
2025-09-12_1nfie1b_dysbiosis-dysfunction-of-the-gut-microbiome-is-h.txt,2026-04-11,supplement/probiotics
2025-09-29_1ntweeu_gut-microbiome-is-the-root-cause-of-most-diseases.txt,2026-04-11,supplement/probiotics
2026-01-13_1qc5o4v_chronic-inflammation-is-huge-cause-of-aging-here.txt,2026-04-11,
2025-07-30_1mcrt2d_psilocybin-treatment-extends-cellular-lifespan-by.txt,2026-04-11,wellbeing/psychedelic-journey
2025-06-26_1lkm11v_nuts-significantly-increase-lifespan-here-is-the.txt,2026-04-11,food/nuts
2025-08-09_1mm1r9b_vitamin-d3-significantly-increases-lifespan-here.txt,2026-04-11,supplement/vitamin-d
2025-08-19_1mu43s9_creatine-supplementation-is-crucial-as-we-age-cre.txt,2026-04-11,supplement/creatine
2025-08-21_1mwq6g5_extra-virgin-olive-oil-evoo-significantly-increa.txt,2026-04-11,food/olive-oil
2025-06-18_1leud8u_cruciferous-vegetables-significantly-increase-life.txt,2026-04-11,food/cruciferous-vegetables
2025-07-06_1lsnzt3_fermented-foods-significantly-increase-lifespan-h.txt,2026-04-11,food/fermented-foods
2025-07-15_1m0vu93_healthy-fats-significantly-increase-lifespan-here.txt,2026-04-11,"food/avocado,food/walnuts,food/olive-oil"
2025-08-03_1mgwbzj_fatty-fish-significantly-increases-lifespan-here.txt,2026-04-11,food/fatty-fish
2025-08-03_1mg629p_best-fermented-foods-that-significantly-increase-l.txt,2026-04-11,food/fermented-foods
2025-04-26_1k8g6mg_the-us-surgeon-general-says-alcohol-causes-cancer.txt,2026-04-14,diet/avoid-alcohol
2025-10-19_1oaopa4_any-amount-of-alcohol-use-can-increase-your-risk-f.txt,2026-04-14,diet/avoid-alcohol
2026-03-04_1rk81g5_daylight-savings-sucks.txt,2026-04-14,circadian/wake-time
